     0          0.00000315
     1          0.00000315
     2          0.00000315
     3          0.00000315
     4          0.00000631
     5          0.00000631
     6          0.00000631
     7          0.00000946
     8          0.00000946
     9          0.00000946
    10          0.00000946
    11          0.00000946
    12          0.00000946
    13          0.00001261
    14          0.00001577
    15          0.00001892
    16          0.00001892
    17          0.00001892
    18          0.00001577
    19          0.00001577
    20          0.00001892
    21          0.00002523
    22          0.00003154
    23          0.00004731
    24          0.00005677
    25          0.00008200
    26          0.00011038
    27          0.00013246
    28          0.00017976
    29          0.00026176
    30          0.00031852
    31          0.00040998
    32          0.00052982
    33          0.00065912
    34          0.00084519
    35          0.00109433
    36          0.00147908
    37          0.00194583
    38          0.00250404
    39          0.00333346
    40          0.00444987
    41          0.00586273
    42          0.00764772
    43          0.01013599
    44          0.01342845
    45          0.01769540
    46          0.02320491
    47          0.03005159
    48          0.03909325
    49          0.05021634
    50          0.06393493
    51          0.08065584
    52          0.09988394
    53          0.12255904
    54          0.14685513
    55          0.17390441
    56          0.20166326
    57          0.22980056
    58          0.25658808
    59          0.28055934
    60          0.30161343
    61          0.31988281
    62          0.33516563
    63          0.34774574
    64          0.35861338
    65          0.36701483
    66          0.37348622
    67          0.37936472
    68          0.38361590
    69          0.38685160
    70          0.38895196
    71          0.39096718
    72          0.39326938
    73          0.39502283
    74          0.39602886
    75          0.39731557
    76          0.39833422
    77          0.39931502
    78          0.40033682
    79          0.40081302
    80          0.40092025
    81          0.40155730
    82          0.40182536
    83          0.40142169
