     0          0.00000631
     1          0.00001262
     2          0.00001892
     3          0.00001892
     4          0.00002523
     5          0.00002838
     6          0.00003154
     7          0.00004100
     8          0.00004100
     9          0.00004731
    10          0.00005992
    11          0.00006308
    12          0.00007569
    13          0.00008515
    14          0.00008831
    15          0.00011354
    16          0.00013877
    17          0.00017030
    18          0.00023023
    19          0.00027753
    20          0.00034061
    21          0.00044784
    22          0.00061499
    23          0.00084837
    24          0.00117005
    25          0.00159266
    26          0.00209726
    27          0.00270910
    28          0.00349123
    29          0.00448152
    30          0.00574934
    31          0.00730730
    32          0.00894096
    33          0.01056831
    34          0.01242904
    35          0.01446007
    36          0.01659518
    37          0.01860098
    38          0.02102624
    39          0.02359972
    40          0.02626151
    41          0.02898953
    42          0.03185001
    43          0.03450549
    44          0.03729974
    45          0.04005614
    46          0.04269270
    47          0.04551217
    48          0.04799420
    49          0.05085152
    50          0.05334300
    51          0.05632333
    52          0.05918380
    53          0.06182982
    54          0.06416993
    55          0.06638703
    56          0.06863252
    57          0.07099470
    58          0.07307304
    59          0.07505046
    60          0.07725811
    61          0.07902737
    62          0.08096695
    63          0.08265737
    64          0.08424688
    65          0.08596884
    66          0.08741012
    67          0.08922354
    68          0.09095812
    69          0.09218809
    70          0.09339914
    71          0.09482780
    72          0.09585594
    73          0.09719629
    74          0.09805727
    75          0.09914533
    76          0.10063706
    77          0.10162735
    78          0.10240633
    79          0.10318216
    80          0.10399899
    81          0.10468967
    82          0.10557273
    83          0.10596695
