     0          0.00084519
     1          0.00641778
     2          0.02217366
     3          0.05188465
     4          0.09117027
     5          0.12773741
     6          0.14927086
     7          0.14812292
     8          0.13060097
     9          0.10088051
    10          0.07162365
    11          0.04501274
    12          0.02655414
    13          0.01465524
    14          0.00715574
    15          0.00339969
    16          0.00152324
    17          0.00061182
    18          0.00024283
    19          0.00006623
    20          0.00003154
    21          0.00001261
    22          0.00000631
